PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s943494168,01-Feb-2024 10:00,1,1,1,1,7,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,2.5,1
s943494168,29-Jan-2024 12:30,3,1,1,1,3,3,5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,3,2.5
s943494168,31-Jan-2024 10:00,1,1,1,1,5,1,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,1,1,3,2,1
s943494168,31-Jan-2024 20:00,5,1,2,4,4,5,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,3,4.5,2.5,2.5
s943494168,26-Jan-2024 10:00,6,1,2,6,1,5,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,0,3.5,4,3,2.5,1
s943494168,26-Jan-2024 15:00,5,1,1,5,4,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,3,3,4,1,1
s943494168,27-Jan-2024 10:00,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,0,1,1,1,1,1
s943494168,01-Feb-2024 15:00,1,1,1,1,6,4,3,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,1,5,2,2.5
s943494168,27-Jan-2024 20:00,3,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1
s943494168,29-Jan-2024 17:30,3,2,2,1,4,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5,1.5,3,2.5,2.5
s943494168,26-Jan-2024 17:30,6,1,2,5,7,6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,3.5,3.5,6.5,1,1
s943494168,27-Jan-2024 17:30,5,1,1,1,1,4,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,2.5,1,1
s943494168,27-Jan-2024 12:30,1,2,1,4,4,4,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1.5,2.5,4,2.5,2.5
s943494168,27-Jan-2024 22:30,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,0,1,1,1,1,1
s943494168,30-Jan-2024 10:00,5,3,4,6,2,1,4,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,5,1.5,2.5,2
s943494168,30-Jan-2024 20:00,1,1,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,1,2.5,1,1
s943494168,31-Jan-2024 17:30,4,1,1,1,4,3,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5,1,3.5,2.5,2.5
s943494168,26-Jan-2024 22:30,7,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,1,1,1,1
s943494168,26-Jan-2024 12:30,4,2,4,4,5,5,4,2,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4,5,3,3.5
s943494168,29-Jan-2024 15:00,1,1,1,1,3,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,1,2,2,2
