PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s409939983,31-Jan-2024 20:00,4,5,4,4,5,5,2,2,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,4,5,2,5
s409939983,31-Jan-2024 10:00,5,5,4,5,5,5,2,3,4,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,5,4.5,5,2.5,4.5
s409939983,30-Jan-2024 20:00,3,5,4,4,6,5,2,2,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,5.5,2,5
s409939983,30-Jan-2024 15:00,3,4,4,5,5,5,4,3,4,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4.5,5,3.5,4.5
s409939983,28-Jan-2024 22:30,2,3,3,3,5,4,2,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2.5,3,4.5,3,4
s409939983,28-Jan-2024 12:30,2,2,2,2,2,3,3,4,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,2,2,2.5,3.5,3
s409939983,27-Jan-2024 22:30,4,4,3,2,5,3,3,5,3,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,2.5,4,4,3
s409939983,01-Feb-2024 17:30,4,5,4,5,6,5,1,2,5,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,4.5,5.5,1.5,5
s409939983,27-Jan-2024 12:30,3,3,3,5,5,4,5,3,4,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3,4,4.5,4,4
s409939983,26-Jan-2024 17:30,5,4,4,5,3,3,3,2,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,4.5,4.5,3,2.5,3.5
s409939983,31-Jan-2024 17:30,4,4,4,4,6,4,2,2,5,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,4,4,5,2,4.5
s409939983,28-Jan-2024 17:30,4,3,3,3,4,3,2,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.5,3,3.5,3,3
s409939983,26-Jan-2024 20:00,3,3,4,4,4,4,2,3,3,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,4,4,2.5,3
s409939983,26-Jan-2024 10:00,1,2,4,4,5,5,3,5,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1.5,4,5,4,3.5
s409939983,30-Jan-2024 12:30,4,4,4,5,5,4,5,2,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4.5,4.5,3.5,4
s409939983,29-Jan-2024 20:00,2,3,3,4,4,4,2,2,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2.5,3.5,4,2,3.5
s409939983,30-Jan-2024 17:30,5,5,4,5,6,6,2,2,5,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4.5,6,2,4.5
s409939983,31-Jan-2024 12:30,5,5,3,4,6,6,1,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3.5,6,1.5,5
s409939983,31-Jan-2024 22:30,3,4,4,4,5,4,2,2,4,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4,4.5,2,4
s409939983,30-Jan-2024 22:30,5,5,5,5,6,6,2,2,6,5,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,5,5,6,2,5.5
s409939983,28-Jan-2024 15:00,4,3,4,4,3,2,2,2,3,3,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,3.5,4,2.5,2,3
s409939983,29-Jan-2024 10:00,3,3,2,4,5,4,2,3,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,4.5,2.5,3
s409939983,29-Jan-2024 15:00,2,4,4,4,5,5,2,3,4,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,3,4,5,2.5,3.5
s409939983,26-Jan-2024 12:30,4,5,3,5,5,5,2,2,3,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,4.5,4,5,2,4
s409939983,26-Jan-2024 22:30,4,4,3,3,3,4,2,3,3,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,3,3.5,2.5,3
s409939983,01-Feb-2024 12:30,3,4,4,4,4,5,2,2,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3.5,4,4.5,2,4
s409939983,01-Feb-2024 22:30,2,5,4,4,5,5,2,2,5,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,3.5,4,5,2,4.5
s409939983,01-Feb-2024 15:00,4,5,5,4,4,5,2,2,4,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.5,4.5,4.5,2,4
s409939983,27-Jan-2024 20:00,5,4,4,3,4,3,2,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,4.5,3.5,3.5,2.5,3
s409939983,29-Jan-2024 17:30,2,3,3,4,5,4,2,2,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,0,2.5,3.5,4.5,2,4
s409939983,27-Jan-2024 15:00,1,3,3,2,4,3,2,4,3,5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,0,2,2.5,3.5,3,4
s409939983,28-Jan-2024 10:00,2,2,2,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,2,2,2,2.5,2
s409939983,28-Jan-2024 20:00,4,5,4,5,4,4,3,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,4.5,4,3,3.5
s409939983,31-Jan-2024 15:00,2,4,3,4,5,4,2,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,3,3.5,4.5,1.5,3.5
s409939983,29-Jan-2024 22:30,2,4,4,4,5,5,2,3,4,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,3,4,5,2.5,4.5
s409939983,29-Jan-2024 12:30,4,3,3,5,5,5,2,3,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,3.5,4,5,2.5,4
s409939983,01-Feb-2024 20:00,4,5,5,5,6,6,2,1,5,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,0,4.5,5,6,1.5,5
s409939983,01-Feb-2024 10:00,1,4,4,4,4,4,1,3,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,2.5,4,4,2,4.5
