PARTICIPANT_ID,SCHEDULED_TS,OUTGOING,ASSERTIVE,COMPASSIONATE,POLITE,HARDWORKING,ORGANIZED,WORRIED,DEPRESSED,CREATIVE,CURIOUS,Class/Schoolwork,Paid/Volunteer Work,Using Social Media,Watching TV,Videogames,Reading the News,Eating,Exercising,Hobby,Errands,Driving/Commuting,Resting/Relaxing,Socializing,Spiritual,Friend,Romantic Partner,Roommate,Family member,Coworker,Customer,Casual Aquaintance,Stranger,Other,INTERACTING,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
s646486438,30-Jan-2024 12:30,5,4,5,5,4,5,6,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,4.5,5,4.5,5,4.5
s646486438,26-Jan-2024 17:30,1,1,4,4,1,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1,4,2,2.5,1
s646486438,27-Jan-2024 17:30,4,3,4,4,7,4,3,3,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.5,4,5.5,3,4.5
s646486438,28-Jan-2024 22:30,3,2,2,4,5,4,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2.5,3,4.5,3,2.5
s646486438,27-Jan-2024 12:30,2,3,3,3,6,4,4,2,4,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2.5,3,5,3,4
s646486438,30-Jan-2024 20:00,2,2,3,5,7,5,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,6,3,2
s646486438,30-Jan-2024 15:00,1,3,2,2,6,6,6,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2,2,6,5.5,4.5
s646486438,31-Jan-2024 20:00,3,3,4,4,3,5,3,2,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,4,4,2.5,3.5
s646486438,26-Jan-2024 10:00,1,3,5,5,3,2,7,7,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,2.5,7,1.5
s646486438,26-Jan-2024 20:00,3,2,3,2,2,3,2,2,3,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2.5,2.5,2.5,2,2.5
s646486438,31-Jan-2024 12:30,3,3,3,4,6,6,5,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3.5,6,4,3.5
s646486438,31-Jan-2024 22:30,1,2,3,4,2,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,0,1.5,3.5,2.5,2.5,2
s646486438,31-Jan-2024 17:30,3,2,3,4,7,6,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2.5,3.5,6.5,3,3.5
s646486438,29-Jan-2024 15:00,6,4,4,5,5,6,4,2,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4.5,5.5,3,3.5
s646486438,26-Jan-2024 12:30,4,3,3,5,7,3,5,2,6,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.5,4,5,3.5,5
s646486438,26-Jan-2024 22:30,2,1,2,2,4,4,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1.5,2,4,1.5,2.5
s646486438,01-Feb-2024 22:30,2,2,4,3,3,5,2,3,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3.5,4,2.5,3
s646486438,29-Jan-2024 20:00,1,3,3,3,5,5,3,2,3,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,3,5,2.5,3.5
